Date;Title;Venue;Time;Line-up
20.02.2020;Organic Quartet;Nardis Jazz Club;21:30;Anýl Þallýel (ts)
20.02.2020;Ayþe Tütüncü Dörtlüsü;Bova Sahne;21:00;Ayþe Tütüncü (p)
20.02.2020;Kaan Çelen Trio;Last Penny;22:00;Onur Aymergen(g)
20.02.2020;Çaðlayan Yýldýz Trio;The 251 Soul;23:00;Ozan Çelikel(tb) 
20.02.2020;Tin Pan ;Cafe Plaza Bomonti ;21:00;Jesse Selengut(tp)
